ID,MARCA,MODELLO,TIPOLOGIA,LAVORO,LpA dB(A),LWA dB(A),URL
21605,FIAT,Ducato 250 (Orion),Autoambulanza,TRASPORTO PAZIENTI CON SIRENA ACCESA,84.9 dBA,dBA,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=21605
21605,FIAT,Ducato 250 (Orion),Autoambulanza,TRASPORTO PAZIENTI CON SIRENA SPENTA,75 dBA,dBA,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=21605
21603,FIAT,Ducato (Bollanti),Autoambulanza,TRASPORTO PAZIENTI CON SIRENA ACCESA,75.1 dBA,dBA,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=21603
21603,FIAT,Ducato (Bollanti),Autoambulanza,TRASPORTO PAZIENTI CON SIRENA SPENTA,72.3 dBA,dBA,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=21603
21604,FIAT,Ducato (F.lli Mariani),Autoambulanza,TRASPORTO PAZIENTI CON SIRENA ACCESA,74.5 dBA,dBA,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=21604
21604,FIAT,Ducato (F.lli Mariani),Autoambulanza,TRASPORTO PAZIENTI CON SIRENA SPENTA,70.8 dBA,dBA,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=21604
21601,VOLKSWAGEN,Trasporter (F.lli Mariani),Autoambulanza,TRASPORTO PAZIENTI CON SIRENA ACCESA,71.6 dBA,dBA,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=21601
21601,VOLKSWAGEN,Trasporter (F.lli Mariani),Autoambulanza,TRASPORTO PAZIENTI CON SIRENA SPENTA,69.5 dBA,dBA,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=21601
21600,FIAT,Ducato 2.8 JTD (ORION),Autoambulanza,TRASPORTO PAZIENTI CON SIRENA ACCESA,75.5 dBA,dBA,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=21600
21600,FIAT,Ducato 2.8 JTD (ORION),Autoambulanza,TRASPORTO PAZIENTI CON SIRENA SPENTA,71.7 dBA,dBA,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=21600
21607,MERCEDES-BENZ,Sprinter,Autoambulanza,TRASPORTO PAZIENTI CON SIRENA ACCESA,73.3 dBA,dBA,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=21607
